PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Meso-região,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
PI,2201,Norte Piauiense,1813137.44040309,1828344.70937499,1957500.74137223,2024377.8665135,2310560.6019146,2365160.11494573,2482716.49225953,2631255.74083693,2880083.582,3004752.68587777,3091206.54392997,3326860.74632735,3571906.75450466,3580508.20912334,3629061.7558797,3720503.87002023,3920945.02581213,4118268.00776335,4071432.73580049,4020124.79526129,
PI,2202,Centro-Norte Piauiense,8378491.57717127,8433019.51599383,8382850.44611844,9044653.55348217,11036619.2170449,10319632.7960835,10799418.4238914,11913821.816069,13262106.019,14026105.5944156,14196903.4846737,14636015.3824183,16285763.8322241,15275458.3856864,15310079.8548644,14944963.508961,15702539.9248947,15854373.7868589,14893721.4101999,14763031.9712198,
PI,2203,Sudoeste Piauiense,1750746.18684086,2153899.0736314,2501352.78115234,2515823.99929643,2513869.52965352,2585700.67822686,3267010.37913191,3562526.82617444,3465868.571,4060094.66788093,4434288.76338889,4037316.30796099,4836543.25693212,4894135.08443439,4073357.96279877,5425197.92868434,6205312.7256461,5703810.39978705,6656258.12401061,7483251.68374935,
PI,2204,Sudeste Piauiense,1588819.91468086,1596506.95791683,1694288.3369073,1823339.49454512,2137740.00598077,2114850.72477129,2303904.1142888,2433068.9678978,2661090.897,2860752.66168536,2775807.5152821,2896636.07743473,3148790.01995319,3118806.52726178,3215140.17210984,3621072.66402472,3621983.68268172,3932133.13069446,4086295.24193719,4069887.9109758,
PR,4101,Noroeste Paranaense,6741405.75785544,7618822.96664518,7647722.25376999,7318385.73965789,7434080.85693138,7987284.16883398,8385101.47906852,8697277.9728739,9194897.328,9996426.39014896,10775825.0046061,12019317.0736916,12213145.4074211,12228265.7620711,12241473.0688441,13009600.752264,12514940.8347573,12464843.2803477,12412482.8981294,12173964.2649519,
PR,4102,Centro Ocidental Paranaense,4725221.63738822,5430187.57294704,5246731.80010914,4521677.72742795,4515707.34716461,4915780.22191879,5722221.67184466,5372343.69780555,5050796.973,5633295.32909107,5951624.49238707,6664914.55789067,6768564.86775422,6655462.9794837,6786714.0243743,6616556.83922581,7016512.94595946,6555347.2057253,7989741.65775515,7739245.58648017,
PR,4103,Norte Central Paranaense,27275471.1342354,30312639.5330492,31034800.5410173,29575683.726204,30162718.2885961,34179747.7456621,34495297.1572149,35586806.3586123,37421976.249,40220603.9975013,43377057.7357749,46731789.5679867,45660643.6834297,45759980.9549421,44295222.6646017,45236405.5724154,45019917.1968391,45754050.0161952,46160703.9193103,45549317.226195,
PR,4104,Norte Pioneiro Paranaense,5777897.27750426,6410625.88919915,6522777.69818941,5938291.1430498,6011036.33951997,6416639.9405676,6872153.76072063,6517006.15330953,6950237.452,7595580.29094335,7774161.33132763,8412672.17242004,8045692.21882155,8543214.46936385,8654149.36807029,8744794.38798001,8845849.41576573,8593411.11775034,9248678.8840012,9147643.35263101,
PR,4105,Centro Oriental Paranaense,11909424.6437692,13329921.9569469,13881253.2270834,13144917.0456419,13002811.3747889,14294575.8585552,14183100.7298056,13636835.1202626,13945258.418,14881600.1609734,15763350.5954146,16975262.204302,17170251.1779979,17337882.9472553,17858451.7058648,19095813.5640948,18779897.3198748,18857842.3380375,19655281.2462129,19850870.6785741,
PR,4106,Oeste Paranaense,20840414.8313624,22465688.5894505,22214573.7907681,21402798.5083442,22058242.3664157,24538460.0277309,25032656.3447717,24304903.3824432,24238658.219,25910638.8894921,27417125.0922846,30842903.0443672,30561009.367553,32166515.7035146,33337291.3939578,32596446.8805542,33314942.1293273,32830197.3131616,36122740.1533329,35131825.996853,
PR,4107,Sudoeste Paranaense,6469846.78061184,7309163.07975165,7486724.62610366,6907411.59805158,6488818.25579365,7936211.6295943,8420600.09220545,8512753.08485027,8650944.939,9170089.74685896,9499969.07304735,11004435.323126,10770760.395389,10824738.2535352,11423578.5843832,11505705.2148878,11489037.7204449,11175882.9394289,11675632.6253974,12037393.2769422,
PR,4108,Centro-Sul Paranaense,7261451.93617468,7732021.39546463,8221171.73718839,7532979.23894391,6944887.29511703,8334440.56109305,8397941.17546216,7954595.19170633,8012965.84,8406601.05755867,9071724.98151907,10060617.1200843,9394752.22908681,9706210.42766237,10716076.2060242,10218188.8609105,10338943.8255494,10027576.9799701,11202763.8709975,11431045.5672441,
PR,4109,Sudeste Paranaense,4379620.7140109,4752904.35170048,5018987.62292218,4865604.92531984,4829617.67378091,5176680.4389451,5382209.46131944,5076995.53169419,5531144.186,5724432.32226817,5990280.38793365,6802181.74610596,6972243.67693443,6900635.80664729,6847557.28259102,7435091.71454018,7351192.02911383,7122019.7409765,7496029.29920142,7665681.19085556,
PR,4110,Metropolitana de Curitiba,72244673.0619459,77866214.8476969,83497379.2371662,82140674.5938528,83987276.2849129,95320046.5071331,99157199.1239812,97582747.6655948,106208375.092,109836664.47645,108660573.427843,115791488.97089,109217792.268502,108395212.067821,102744005.484354,103463625.395348,103011717.284061,108661686.585931,95523213.5141574,99847556.6410201,
RJ,3301,Noroeste Fluminense,3369602.48442616,3292271.05955397,3363254.77530293,3770494.71380772,3771116.09415126,3483978.93369013,4081429.97281946,3952301.49131869,3934116.701,4131048.15926746,4320890.10121355,4456818.12093753,5005329.73561042,4649620.98182788,4539189.79032741,4498344.34692288,4524754.20269845,4601126.52695443,4734241.19456704,4425114.88678429,
RJ,3302,Norte Fluminense,38238832.5131353,40390272.6511311,43944472.3039739,56546301.2485667,66331383.9210777,60517213.7852782,82120918.2326357,56401227.4909372,63956725.107,75178198.4772244,78823769.1174384,73884468.4867848,70800985.6793981,45488304.4500028,26887518.1072549,27687775.8655086,35326014.9203349,33105167.0687128,27411263.5034619,35248831.2469766,
RJ,3303,Centro Fluminense,6809011.40135807,6547510.41915133,6679119.94569928,6250657.66998947,6617556.33932811,6805120.16353006,7554411.18165525,8107511.45751611,8641599.465,8368261.90344918,8946039.89627708,9221764.34976242,9496708.15028254,9534788.9150476,9194045.95812362,8891065.4872258,9064937.3119339,8981508.1630217,9702230.17995634,9706308.52542172,
RJ,3304,Baixadas,18041723.0959519,18071669.4391496,19914995.5349447,30105331.8263475,34793899.6874534,29652974.3222048,33597700.7350715,24227809.7071665,26814899.524,33000852.6299782,39136799.4862189,36827545.9579534,34467843.0725023,21579092.7656391,14529865.3712455,15720788.3271961,20163032.2955917,24936629.0154949,22998453.2921669,37774197.1958911,
RJ,3305,Sul Fluminense,25478048.8089262,25475801.0478019,31280931.7287874,27569153.4035962,27464618.2324111,29921353.9401863,35149563.4878939,32225733.5570234,37220654.252,35844352.3190971,36209249.754361,37263922.7061442,35098062.851534,30747714.6554262,28842602.6692314,30713929.3826701,32094364.9463613,29531217.0715444,28655144.5529367,34083994.4764967,
RJ,3306,Metropolitana do Rio de Janeiro,258206666.409036,243642527.559933,267558831.995446,263888980.776422,264818671.515694,279314430.891644,277642325.841111,299726347.122383,309290106.06,316865921.153807,324243718.26869,338139491.948296,340171247.911653,340032754.240542,322267125.431059,323455851.867107,343217730.608614,337061762.122703,304301163.934382,328535610.446614,
RN,2401,Oeste Potiguar,7426139.98656944,7089111.64758691,7956227.6764479,8699675.17307495,9007303.21702253,9259619.72731684,9478901.96825329,8455229.37218643,9360849.899,10452779.9097751,10931150.4330342,11047087.0298485,10344850.8820995,9168375.53201062,8199231.7974659,8575332.19952914,9198020.48807486,9611887.1042724,9154576.06411384,9607559.30422241,
RN,2402,Central Potiguar,2518932.61756241,2388968.10905077,2670856.46999127,2840745.39567926,3095966.07937307,3309998.01668931,3526468.5524763,3328222.8199741,3691987.696,3510299.66611712,3506047.90776805,3607172.32118607,3934825.29134878,4209030.98959485,4247344.74107105,4474319.21316288,4329377.99494224,4600212.36590241,4469788.95632759,4677208.6195648,
RN,2403,Agreste Potiguar,1588557.53319124,1582554.96613346,1705139.2867975,1770546.44310419,1832237.22304185,2034112.54614757,2043653.74434915,2133220.10889549,2186558.459,2399886.18735791,2739201.65501721,2820012.66921087,2806227.19967871,3035080.23105143,3178640.16376955,3300245.157018,3149336.9010717,3177778.89269754,3245883.42328487,3359152.16119267,
RN,2404,Leste Potiguar,14239847.4284304,13692022.815211,14328253.5835306,15409992.5653106,16901301.8346638,18706488.8275266,18575626.558187,19630650.9663376,20945106.314,21481806.8406884,22518456.0660974,23511954.6340579,22765493.3039755,22849704.5716519,22233170.315216,23000112.5833947,22540896.3464289,22692057.9759867,20901915.9016037,20345318.6508969,
RO,1101,Madeira-Guaporé,5516183.20277258,5898445.35854679,6688563.35782974,7007393.06180169,7018988.10349151,7246937.02002031,7954028.09915934,9286218.91498546,11177549.492,12505927.8749067,12229089.1154836,11366155.0131544,11516595.0012819,11718103.7374048,11487434.9070096,12637565.4796424,12092413.5504288,12383258.7609406,12663165.5236496,12010775.453339,
RO,1102,Leste Rondoniense,8670415.21183384,9795273.32612728,10317129.5844407,10989951.7976537,10567884.6798415,11027276.8529405,12158194.1481188,12100294.876341,12730337.39,12951118.6155931,13525343.6324281,13392918.7871193,13587390.4749867,13356740.4253841,13545589.6761299,13990756.570157,14209388.1259267,14075907.4532355,14566155.2367437,15549931.0727621,
RR,1401,Norte de Roraima,3980942.61831471,3776938.68201831,3789826.68230968,3981100.73301918,4473550.80060739,4622976.74143388,4898566.73507775,5339119.75108594,5800677.745,5827547.83707691,5694751.38846582,6123944.08036758,6176054.12093498,5984356.89961,5947584.66748675,6326180.83128771,6740800.07853858,6925778.52411494,7277771.46515484,7424876.22718855,
RR,1402,Sul de Roraima,563311.370720675,542502.181760093,572236.243383197,612416.679993843,648985.388332232,697014.880216983,735078.694480619,810624.440286811,838472.732,915264.378618601,900616.253197993,1044664.08949,1011993.08611294,1040146.36960388,1039037.98454441,1080909.50479856,1088717.3334184,1104582.42857619,1178444.6497819,1199416.80655467,
RS,4301,Noroeste Rio-grandense,30209371.1512532,37078838.5466812,33982169.413288,27457306.0454228,29919984.3641682,33615682.0467644,36373533.3964972,35219360.4044389,38673171.65,41754642.249811,39823131.5037067,48771387.1361078,46860490.3435076,46750762.5687409,47581878.8291354,46807467.0910686,49641811.9637485,50227715.4104066,47128192.1707403,57508835.9422861,
RS,4302,Nordeste Rio-grandense,23535775.8541929,23923660.6727897,26183046.3448118,25707357.3745847,25657128.295388,27096853.6329704,28863131.2822656,28137293.4462841,32673214.667,33870556.2669097,34075840.128607,34780195.6526308,35053260.0544913,32234950.924529,30153034.1192529,30889288.6271559,32738291.5055387,33954051.8524227,31911698.3310747,35484093.9677829,
RS,4303,Centro Ocidental Rio-grandense,6935385.60289116,7702293.6606158,7375108.26589746,6514307.44844708,7075847.40858604,7823282.89823741,8262733.12334529,8178900.7543581,8339794.99,8866022.31554059,8486068.52063069,10025664.5614276,10160025.6894244,10009469.5947877,9957181.29018511,10039550.3466009,10714709.465486,10998889.6728803,10171042.4052882,12362484.5251412,
RS,4304,Centro Oriental Rio-grandense,14913626.7008735,14585637.7517209,14995944.615106,13967628.2476668,14047644.497798,14302094.8686398,15121738.2184689,15272017.3203266,16781375.803,17509899.8025056,17861156.6985594,19694023.6965585,20476515.2545872,19212120.6428159,18703247.9937747,18913620.4167555,19908296.9318702,20083666.5701097,19581905.4059282,19898580.0825067,
RS,4305,Metropolitana de Porto Alegre,92597022.3509248,94397604.4719089,99316721.8688329,103545979.675361,102773635.674082,108386679.977761,109557404.743633,112089599.582517,120807688.247,118996331.8325,121100425.615991,123518072.52238,124461776.197277,126269848.513992,124111535.920373,123614831.473824,125070899.35775,126551956.593765,112228821.337692,116481259.283423,
RS,4306,Sudoeste Rio-grandense,8809385.36054989,9402128.66838777,9503742.95775508,8461799.58046155,8570642.03386842,8794743.47606709,9656472.9461403,9433741.30403269,9770953.333,9444238.15750309,9808279.68523422,11297377.3253112,11265611.4541961,11987821.4980787,11889828.5458955,12158319.6844981,12086310.971956,11748507.3542278,11226517.284086,13844495.5636195,
RS,4307,Sudeste Rio-grandense,10784005.4520758,11600250.5406485,11377211.9954809,10493547.4290651,10827341.4807701,12625494.8889949,13502826.1757028,13226693.0778845,14202965.209,14259067.4505798,14808944.7865895,16280106.0565658,15685941.628615,15517162.2111149,16899662.9181432,16554009.8520794,17601516.9987275,17484061.1116024,16240020.979452,19829610.7000939,
SC,4201,Oeste Catarinense,20253943.0024407,21160478.9688517,22264184.1210178,22001979.5270878,22074410.5134213,24129436.567456,26023353.1574753,25424104.3213538,27541697.339,29570123.7238152,29091407.5085764,31133670.175998,30215667.113915,28704359.2958092,28330216.0692077,28711829.5993791,29252917.5058172,30593166.5571924,32375666.1519777,33939741.5836222,
SC,4202,Norte Catarinense,24531630.7418344,25606190.3769238,28071031.6723943,28635650.2845215,29915771.8175603,31981825.5791366,34281507.928403,32903994.6709409,35844266.703,36575022.0515851,36824805.3435823,38161324.2287008,38825080.5827199,38093255.7557383,34790894.1712961,37161929.0605152,38838343.6829893,40776965.0643553,41228682.7898102,47364499.7396496,
SC,4203,Serrana,5833628.29210126,6013296.8511231,6009680.39840668,5994972.80426647,6119283.6551587,6599726.74265199,7257731.84343336,6903722.41617869,7670800.363,7568848.68152444,8419677.41603969,8091459.95970517,8432343.62582694,8364626.90265854,8269236.94641052,8406576.77664021,8052456.23951724,8454330.53168481,8538168.87299725,8916678.38077681,
SC,4204,Vale do Itajaí,25401123.5274238,26198510.3174879,28624888.8357768,30289738.9726922,32508475.9114937,34674713.2002138,37243341.6966418,37892321.0869543,42552945.903,44956999.0114209,46806607.8867027,48522279.681144,54033793.6093578,49876755.0010309,47605680.8707051,50813305.9866033,52584652.0385823,54729872.0637612,55947313.2812447,64376647.6077848,
SC,4205,Grande Florianópolis,15277958.2248299,15349875.1241175,15775664.3492699,17149555.694841,18233618.9518859,19563627.0363688,21042084.1099949,21131810.7244243,23242132.751,24401247.9165212,25063623.6262765,25853628.0326743,27282476.4658846,26382693.8473965,25340597.1772287,25595646.3879914,26517964.4809325,27137274.8131078,25856444.5140336,26928090.2849735,
SC,4206,Sul Catarinense,12203463.3148098,12402928.0015496,13019413.976017,13230759.1691514,13826068.5982333,14336161.4879479,15494245.5989824,15716988.2155315,16874164.314,17628076.2312957,17829621.8325364,18931426.1419922,20194885.799716,19484666.0637809,18354145.6300101,18790570.3907083,19207566.7922438,19749710.1091349,20171104.775308,21529131.0038723,
SE,2801,Sertão Sergipano,2597735.43872329,2739410.18078227,2841916.03031526,2601723.35351204,2476434.67243114,2649890.79795109,3005035.32935785,2706864.01204143,3270038.331,2974985.91330483,3057987.37898012,2055136.0275043,2112435.9015972,2439731.0564493,2272171.57594491,2613396.30980761,2683434.51983313,3065787.70233025,3383724.67152501,3059669.08823344,
SE,2802,Agreste Sergipano,2516661.84762375,2562000.38478579,2526569.44182397,2540616.23125324,2774594.39687543,2877084.02428851,3127169.44117534,3133841.9187203,3355725.531,3430814.89232494,3632579.65144399,3955945.60895937,3925750.93089025,3887334.01492045,3749369.83050644,4000349.98896281,3737247.51707545,4056556.23712628,3942772.10889468,3873629.9518103,
SE,2803,Leste Sergipano,14514714.4786068,14262971.2999034,15240301.2593335,15614336.4474745,16869172.9005652,17531562.6334348,18788690.6910982,17695011.8377472,19779129.361,20467029.8513611,21407692.6637325,22100954.9272808,21604488.2138285,20114698.3374721,18641687.6785144,18298353.7647273,18185213.0233035,17987298.6236372,16636766.0924931,17638376.8661012,
SP,3501,São José do Rio Preto,25134641.3947261,24675643.8887502,23401506.4645007,24852601.850574,26359535.2650327,27314728.2784519,27717814.8904214,29220080.0177749,30532917.297,31550566.0440647,32499835.5973052,34011913.5349553,33321200.739791,33938154.6745819,32119156.5237903,33786591.7453165,31837187.6142845,32670639.9690261,33175780.7581031,32850450.469223,
SP,3502,Ribeirão Preto,43362294.0375582,42887628.9371994,42486496.8109769,44768094.6652577,48440841.6086478,49186904.6027029,48808735.534059,50291053.3976376,53174232.318,54636622.5120836,55785605.0376351,57242932.8553131,58142234.3675045,57331427.018076,58152029.7994909,59574892.0228821,59364755.5099602,56815413.9161032,56983700.2567095,57616241.4260854,
SP,3503,Araçatuba,10728458.7147199,10447172.3311548,10339215.2922688,10439753.4293046,11179912.8407591,11696564.0629817,11656726.0286826,12551005.6217599,13134340.674,13757663.848599,14179845.1435562,14489612.8598026,14042934.8483103,15265093.3262046,13852674.9420578,14121453.1264742,13080442.145472,13679252.0175866,14133288.1756464,13678935.746277,
SP,3504,Bauru,22387088.783173,22379080.0976896,22930373.8571759,24757073.688626,26479437.7817949,27864925.0586997,27883164.7781869,29696643.7444186,31453300.825,32437322.2983,32098883.7691876,32991523.356899,32611809.8555256,34152156.745488,31456317.7224776,31548854.4879208,31133845.6811652,32487714.4883489,33134494.0838872,33244426.8941262,
SP,3505,Araraquara,15989015.9010919,16438710.0395348,15646539.8189857,15974766.7358885,16821124.8593588,17492647.5301447,17420357.6451748,17977089.896918,19197255.92,19977014.9129027,20694585.2749006,21108641.9861719,20795213.2218893,20578514.4281156,20494191.0756141,20780431.1973722,20027876.0815663,20218088.699333,20831936.4215483,21019291.5374983,
SP,3506,Piracicaba,29140471.7733043,29995729.00966,31275391.1398619,33519356.6692451,35463257.1178957,38142517.9424063,38676568.3502641,37481870.010956,39093178.511,41573840.1363526,41893081.4279085,45118956.3196133,45696647.54399,42041153.8170735,41515215.3870283,42774203.2440577,46786291.2897471,44964076.0855782,43822690.3824933,47299878.9628815,
SP,3507,Campinas,96839758.4875404,99511667.8666468,104875058.028523,110380480.780849,111409053.685614,118461895.097066,123461386.894302,123506904.080473,131695023.672,130614366.851435,135798812.083107,135119546.507672,136793695.244319,135682726.476428,138900630.141784,140073241.33998,138644231.441213,142218843.646461,137501834.384351,147295357.201236,
SP,3508,Presidente Prudente,11893536.6480092,11564696.3131623,11613800.5723912,12122704.1708376,12835926.7677202,13045853.6480295,13267172.7469459,14259691.2132969,14422093.111,14638749.8555811,15201427.2926561,15865041.4227447,15424563.0756098,16726276.2551883,15484293.08035,15037780.4907496,14194321.1226136,14794543.109648,15341716.9447359,14899943.0360885,
SP,3509,Marília,7010450.08719472,7118207.70138706,7160622.71830751,6824517.64344155,6927832.56165668,7512117.39362152,7794298.86553431,8158175.09003426,8458163.255,8629312.93744782,9087941.80032899,9553890.19303682,9202723.63904293,9009171.31143462,8653491.36330569,9175214.00328179,8832288.00013648,9166591.78297422,9240710.94691279,9312492.79239199,
SP,3510,Assis,8921028.41462019,8902053.72602328,8350349.53619966,8288066.01185595,8671969.82669566,8571948.56921628,8718966.24205979,9040329.5758355,9510568.532,9900395.71631059,10352836.3714264,10721275.2267805,10865243.5087753,10574644.8331871,10702125.0851361,10916934.6224544,10440542.5924197,10751571.1821435,11295240.8074376,11220221.0865354,
SP,3511,Itapetininga,10443573.2012565,10892404.7279363,11368410.8554467,11843219.1118588,12129958.0245056,13191352.4279541,13283352.7105663,14233280.5815686,13903987.51,14670127.7643073,14778418.0295676,15477340.3795523,16277288.0082856,15822201.0402469,15443173.7882766,14984822.0270631,14585669.0973148,15148276.8016431,16462299.9858023,16458284.6324084,
SP,3512,Macro Metropolitana Paulista,56157900.1333356,58136456.8199374,63695012.7631906,66252239.5473204,70508814.2880781,79665004.439234,81841093.4789005,80301791.3661693,87742650.394,93506244.2063403,96956002.8793623,101801120.250049,105457803.945177,100340802.969933,96056032.2518864,97775175.9583485,99334639.9843833,104387825.220647,103693799.744435,108015188.771814,
SP,3513,Vale do Paraíba Paulista,56044255.2202426,57858804.3873837,62037524.7426155,61163537.8512418,61979647.9886098,66483379.626167,69532784.1443629,67455751.1179921,67986370.205,66696300.1966043,65847002.6693829,68898360.823604,70698774.9597335,67117946.7177356,66130377.1698268,66907782.377575,72606421.4424483,73991571.3139097,64719355.0130217,74542618.9147533,
SP,3514,Litoral Sul Paulista,4858111.27546316,4600672.95381873,4876289.29038291,5011562.72645765,5059541.7271869,4911018.58818318,5183723.53550073,5321174.37775317,6290141.505,7197873.35885017,8420316.41636602,9313986.88150725,10807588.1851082,8128035.64285305,7059338.50777001,7682818.85722255,7965668.56704612,7824213.98331137,7436277.95058831,7728455.57104866,
SP,3515,Metropolitana de São Paulo,586827259.004408,579429570.974728,588968716.263075,632615263.660902,656511414.49929,700686907.073738,717744255.330566,722537912.366544,768101764.723,786553500.563286,779796131.147761,792867702.732104,790616929.022229,763661068.104236,737336233.630262,732592529.940398,725679569.272275,740339961.967041,686937638.797153,693423029.167774,
TO,1701,Ocidental do Tocantins,6069564.64975839,6915186.52097301,7036072.47132939,6815087.74143285,7103628.23475105,7927867.3054891,8512742.70208763,8859698.85295853,9539146.765,9749648.93992142,10124018.5903672,10827046.2491446,10643791.7205722,11151707.1540507,11441668.1049167,11817630.5354053,11697151.9847158,12398526.4304345,13075428.0345372,14063672.4161702,
TO,1702,Oriental do Tocantins,4041951.82391462,4095113.05538333,4169939.38760879,4271359.88415813,4556924.2652796,4972905.23484175,5585027.47058181,5983244.10111413,6865669.324,7187136.65819539,7566703.27592688,8104715.6621072,8675556.0390698,8688457.28872763,8595237.30322018,9053757.41231972,9189103.49715221,9714360.79368076,9959137.17914087,10469800.2077118,
