PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Meso-região,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
BA,2903,Centro Norte Baiano,10933996.9512783,10944052.6370562,11389600.7474289,12148371.6613386,12795493.8897442,13593565.0797592,14493315.23572,15784417.7727918,16764558.842,17443453.0360496,17892278.4541023,19519271.5558765,19728607.5154623,19605939.2911657,19984396.5284501,20418737.9548478,20799918.138813,20841042.5402134,20117815.7988775,21224395.6435488,
BA,2904,Nordeste Baiano,7697095.15621108,7342538.7117967,7566723.48949828,8309475.89283209,8946375.5161796,9734581.16535983,9594536.11711187,9355913.34145528,10080852.539,10277035.7590244,10566143.1877011,11364696.0355914,10659169.8632404,10690718.7432771,10469779.5270906,10457945.7685762,10617492.7727653,10968991.4934702,11122200.5810046,10725685.886165,
BA,2905,Metropolitana de Salvador,54806309.2317363,55066116.613593,60214001.9305391,65771835.787769,65078160.6505402,68902299.1551089,68820485.0710829,76456185.9871218,77140855.59,73675486.3789064,71598927.5257503,75983843.3376727,77469010.2868549,79266376.7897633,79150632.7130893,77270683.7819856,75082087.2043246,73545976.5163726,67928372.9407732,70496821.193992,
BA,2906,Centro Sul Baiano,11098737.3947621,10760301.6016826,11230534.5333784,12024127.7556586,12711850.4919686,13197247.4472794,13481474.1354519,14414747.9173562,15415117.168,15998710.4577501,16116970.9667159,17027985.9431244,17840202.9779171,18044098.1426279,17941561.0120141,17960268.9396446,18292680.1270777,18373104.3666528,17991353.3928515,18439366.3938081,
BA,2907,Sul Baiano,14703263.2183017,14638797.0816592,15271892.8983049,15553643.6915227,16236634.2680944,17701266.8364819,18513438.431414,18313758.8543146,20079159.195,20045997.6881303,21202865.37114,21963062.7257305,21082373.3581187,21216971.7278298,19994995.6265221,19401004.7244312,20186303.0242502,20044624.532703,19119003.5650847,19819489.8539148,
CE,2301,Noroeste Cearense,5482668.6721938,5647686.93288376,6006586.30762735,6227078.03798005,6434732.02832255,6481347.36222991,7035836.59007887,7070362.04510527,7872066.474,8071922.55909032,8073426.54146095,8529178.04144008,9112351.92861132,8867161.13696726,8964505.93778062,9842125.33054495,9797710.52697274,9972534.59574205,9836611.74241917,10092473.77094,
CE,2302,Norte Cearense,4236304.64984018,4252935.97997426,4595137.15894843,4666297.40857741,4908956.65358045,4676674.50719633,5343715.39033067,5186288.99767886,6133806.774,6609389.27597705,6123724.93341728,6520625.11844304,7524727.52696346,7416765.52339971,7650963.54549427,8642392.93086967,9020097.03401061,8847347.30293742,8791996.13969302,10567469.298788,
CE,2303,Metropolitana de Fortaleza,33889218.5459945,33417368.7965663,35393758.2465359,36836906.6794899,38858196.9821109,40667769.7252527,43984277.0436044,46571489.2668397,49982117.112,51622309.8552093,52648637.2439789,54600029.8246117,57450312.8691909,55169768.3144241,53463072.6508932,53295749.346353,54221007.4206739,54063176.1503173,50407025.459835,52815264.2113657,
CE,2304,Sertões Cearenses,3038055.11858281,3097270.04982281,2995816.44345484,3207779.31528345,3426838.39242329,3342960.65317772,3895900.09160071,3763153.38877907,4044685.706,4533040.34646314,4043345.30530449,4249443.97765325,4716918.42496381,4593548.47306663,4647860.89798954,4887502.92752691,4772873.99891134,5045279.0064703,5096041.68703345,5016175.12130339,
CE,2305,Jaguaribe,2755850.17872055,2774967.80510144,2895319.06889975,2852167.78845114,3068766.2861294,3163728.94519756,3440627.2190814,3390052.7617662,3658911.003,3863582.03081675,4010967.29343132,4524621.24851412,4645896.91013068,4484068.44495757,4285351.7516948,4621642.1998554,4530636.59409649,4697633.16634899,4798857.52841215,4958464.39406107,
