População  residente -  total
Sigla,Código,Meso-região,1991,1996,2000,2007,2010,
RJ,3301,Noroeste Fluminense,273062,283596,297837,307032,317493,
RJ,3302,Norte Fluminense,611576,653844,699292,766246,849515,
RJ,3303,Centro Fluminense,425722,434338,452646,464746,481357,
RJ,3304,Baixadas,304153,379964,462325,591262,700842,
RJ,3305,Sul Fluminense,803752,860442,933983,1026143,1062237,
RJ,3306,Metropolitana do Rio de Janeiro,10389441,10794124,11546023,12264946,12578485,
RN,2401,Oeste Potiguar,688776,710312,742075,789009,826707,
RN,2402,Central Potiguar,341854,340337,360612,373814,381846,
RN,2403,Agreste Potiguar,353135,372929,388785,411537,426757,
RN,2404,Leste Potiguar,1031802,1135082,1286037,1439380,1532717,
RO,1101,Madeira-Guaporé,337741,389725,472373,543357,611689,
RO,1102,Leste Rondoniense,794951,839581,908579,910399,950720,
RR,1401,Norte de Roraima,176126,202758,260596,316336,362681,
RR,1402,Sul de Roraima,41457,44373,63801,79389,87798,
RS,4301,Noroeste Rio-grandense,1943386,1955327,1959688,1937239,1946510,
RS,4302,Nordeste Rio-grandense,784798,855752,923118,1001725,1054203,
RS,4303,Centro Ocidental Rio-grandense,479797,503970,526558,541027,536938,
RS,4304,Centro Oriental Rio-grandense,664328,698008,732957,761062,778841,
RS,4305,Metropolitana de Porto Alegre,3757500,4052528,4403498,4709718,4742302,
RS,4306,Sudoeste Rio-grandense,694571,721381,747115,713743,723005,
RS,4307,Sudeste Rio-grandense,814290,847722,894908,918326,912130,
SC,4201,Oeste Catarinense,1051083,1077901,1116963,1152766,1200712,
SC,4202,Norte Catarinense,838211,935716,1026606,1141018,1212843,
SC,4203,Serrana,375121,372262,401184,406765,406741,
SC,4204,Vale do Itajaí,943620,1057132,1187183,1365250,1508980,
SC,4205,Grande Florianópolis,619265,668561,803255,923940,994095,
SC,4206,Sul Catarinense,714694,763672,822671,876513,925065,
SE,2801,Sertão Sergipano,167949,173344,196364,211675,224691,
SE,2802,Agreste Sergipano,348879,374578,404934,429187,446207,
SE,2803,Leste Sergipano,975048,1076098,1183531,1298564,1397119,
SP,3501,São José do Rio Preto,1242883,1337580,1421152,1505728,1569220,
SP,3502,Ribeirão Preto,1806475,1957436,2104682,2246443,2376360,
SP,3503,Araçatuba,577610,608580,635539,669167,695801,
SP,3504,Bauru,1118828,1215376,1309726,1416746,1454111,
SP,3505,Araraquara,609306,665396,719326,770447,810926,
SP,3506,Piracicaba,1008882,1121538,1218951,1322072,1377257,
SP,3507,Campinas,2680848,2976079,3271634,3592931,3785620,
SP,3508,Presidente Prudente,749942,770476,803870,828824,848124,
SP,3509,Marília,372752,388594,418121,436707,440058,
SP,3510,Assis,459147,491799,517504,539240,553778,
SP,3511,Itapetininga,642999,690372,748748,793469,824453,
SP,3512,Macro Metropolitana Paulista,1776056,1972133,2251083,2452227,2644519,
SP,3513,Vale do Paraíba Paulista,1651594,1792714,1992110,2155485,2264594,
SP,3514,Litoral Sul Paulista,324286,366321,424736,442982,462390,
SP,3515,Metropolitana de São Paulo,16567317,17764716,19198273,20655102,21154988,
TO,1701,Ocidental do Tocantins,655329,713129,764552,793841,870586,
TO,1702,Oriental do Tocantins,264534,335513,393138,449786,512859,
